Brand,Price,Rating,Image,Link
AIRFORCE 1 HARD LEATHER UNISEX SNEAKER,2500,(19),,https://www.kilimall.co.ke//listing/1000325966-airforce-1-hard-leather-unisex-sneaker?skuId=10001130315
Original Air Force 1 '07 Low With FREE SOCKS - Triple Black Airforce 1 high quality sneakers,2500,(110),,https://www.kilimall.co.ke//listing/2656925-original-air-force-1-07-low-with-free-socks-triple-black-airforce-1-high-quality-sneakers?skuId=19768455
"NEW ARRIVAL PANDA SB DUNKS BLACK WHITE / JORDAN 1 LOW CUT, HIGH-QUALITY FASHIONABLE SNEAKERS (BEST SHOP FOR AIRFORCE 1, AIR FORCE, JORDAN, AIR MAX, AIRMAX)",2599,(4),,https://www.kilimall.co.ke//listing/1000316915-new-arrival-panda-sb-dunks-black-white-jordan-1-low-cut-highquality-fashionable-sneakers-best-shop-for-airforce-1-air-force-jordan-air-max-airmax?skuId=10001097104
Kids Airforce Poisonous Hightop sneaker fashion,2450,(4),,https://www.kilimall.co.ke//listing/3021603-kids-airforce-poisonous-hightop-sneaker-fashion?skuId=19868317
high quality outdoor airforce 1 breathable sneaker shoes as pictured,2499,(2),,https://www.kilimall.co.ke//listing/1000293636-high-quality-outdoor-airforce-1-breathable-sneaker-shoes-as-pictured?skuId=10001007470
"Classic AF1 Suede Airforce  Womens and Mens  Shoes Comfortable Lace Up Sneakers Fashionable Ladies  and Gentlemens Shoes Low Dunk Sneakers Girls and Boys Sports Shoes


Sizes 37-42",2399,(0),,https://www.kilimall.co.ke//listing/1000341922-classic-af1-suede-airforce-womens-and-mens-shoes-comfortable-lace-up-sneakers-fashionable-ladies-and-gentlemens-shoes-low-dunk-sneakers-girls-and-boys-sports-shoessizes-3742?skuId=10001188200
"ORIGINAL AIR JORDAN 4 RETRO WHITE BLACK DIY (BEST SHOP FOR AIRFORCE, AIR FORCE, AIR JORDAN, AIR MAX, AIRMAX AND ALL OTHER FASHIONABLE/HIGH QUALITY SNEAKERS)",3999,(0),,https://www.kilimall.co.ke//listing/1000322048-original-air-jordan-4-retro-white-black-diy-best-shop-for-airforce-air-force-air-jordan-air-max-airmax-and-all-other-fashionablehigh-quality-sneakers?skuId=10001112647
"NEW ARRIVAL, AIR FORCE 1 LOW TOP WHITE AIRFORCE 1HIGH QUALITY SNEAKERS, AIRFORCE 1",2499,(17),,https://www.kilimall.co.ke//listing/2650458-new-arrival-air-force-1-low-top-white-airforce-1high-quality-sneakers-airforce-1?skuId=10001075025
New arrival⚡ high Cut  Airforce 1 boot breathable Unisex 🔥🔥 sneaker shoes,2499,(29),,https://www.kilimall.co.ke//listing/1000247707-new-arrival-high-cut-airforce-1-boot-breathable-unisex-sneaker-shoes?skuId=10000735346
"Classic AF1 Shadow  Airforce Unisex  Mens and Womens Shoes Comfortable Lace Up Sneakers Fashionable Gentlemen Shoes Low Dunk Sneakers
Sizes (37-42)",2499,(0),,https://www.kilimall.co.ke//listing/1000321833-classic-af1-shadow-airforce-unisex-mens-and-womens-shoes-comfortable-lace-up-sneakers-fashionable-gentlemen-shoes-low-dunk-sneakerssizes-3742?skuId=10001111987
AIRFORCE 1 HARD LEATHER UNISEX SNEAKER,2299,(2),,https://www.kilimall.co.ke//listing/1000363159-airforce-1-hard-leather-unisex-sneaker?skuId=10001311344
