Name,Price,Rating,Link,Image
Fashion Kid's Boys Non-slip Breathable Sneakers-White,1399,4.3 out of 5,https://www.jumia.co.ke/fashion-kids-boys-non-slip-breathable-sneakers-white-102021286.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/2120201/1.jpg?9146
Adidas Tensaur Sport Training Hook And Loop Shoes Kids,3255,4.8 out of 5,https://www.jumia.co.ke/adidas-tensaur-sport-training-hook-and-loop-shoes-kids-73834609.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/643837/1.jpg?0845
Adidas Runfalcon 2.0 Shoes Kids,3490,5 out of 5,https://www.jumia.co.ke/adidas-runfalcon-2.0-shoes-kids-94263054.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/036249/1.jpg?0803
Adidas Tensaur Sport Training Hook And Loop Shoes Kids,3255,5 out of 5,https://www.jumia.co.ke/adidas-tensaur-sport-training-hook-and-loop-shoes-kids-73826026.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/062837/1.jpg?1068
Fashion Kids' Spiderman Luminous LED Fashionable Sneakers,2300,5 out of 5,https://www.jumia.co.ke/fashion-kids-spiderman-luminous-led-fashionable-sneakers-60761186.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/116706/1.jpg?1219
Fashion Cartoon Heightened Comfortable Boy Kid Children Shoes,2209,2.8 out of 5,https://www.jumia.co.ke/fashion-cartoon-heightened-comfortable-boy-kid-children-shoes-90496707.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/769409/1.jpg?2077
Fashion Kids' Spiderman Luminous LED Fashionable  Sneakers,2500,4.5 out of 5,https://www.jumia.co.ke/fashion-kids-spiderman-luminous-led-fashionable-sneakers-60761224.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/216706/1.jpg?1217
Fashion Kids Boys Mesh Sneakers Teen Sport Running Shoes,2500,4.5 out of 5,https://www.jumia.co.ke/fashion-kids-boys-mesh-sneakers-teen-sport-running-shoes-65420866.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/802456/1.jpg?3794
Children's Sneakers Breathable Mesh Shoes,680,4.8 out of 5,https://www.jumia.co.ke/generic-childrens-sneakers-breathable-mesh-shoes-244530998.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/9035442/1.jpg?1164
Adidas Runfalcon 3.0 El K Kids,2926,4.7 out of 5,https://www.jumia.co.ke/adidas-runfalcon-3.0-el-k-kids-166672613.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/6276661/1.jpg?1478
Adidas Runfalcon 3.0 K Kids Running Shoes,2926,5 out of 5,https://www.jumia.co.ke/adidas-runfalcon-3.0-k-kids-running-shoes-166673249.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/2376661/1.jpg?9359
Fashion Kid's Breathable Non-slip Sneakers Casual Slip-on Shoes-Red White,4190,5 out of 5,https://www.jumia.co.ke/fashion-kids-breathable-non-slip-sneakers-casual-slip-on-shoes-red-white-160078948.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/9870061/1.jpg?5552
