Name,Price,Rating,Link,Image
"Lenovo Refurbished ThinkPad Yoga 11e  X360 Intel -Touchscreen- 11.6""- 4GB RAM - SSD 128GB - Black",11999,4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL14GMFJNAFAMZ-87664542&return=%2Fcatalog%2F%3Fq%3Dlapto%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/960207/1.jpg?6595
"Lenovo ThinkPad X260 Intel Core I5, 8GB RAM, 256GB SSD, 12.5'' REFURBISHED",15999,3.8 out of 5,https://www.jumia.co.ke/lenovo-thinkpad-x260-intel-core-i5-8gb-ram-256gb-ssd-12.5-refurbished-172363965.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/9363271/1.jpg?7344
Lenovo Refurbished Thinkpad Intel Core I5 8 GB RAM 500 GB HDD 12.5'' Black (6 Months WRTY),15499,3.6 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL0JMKO7NAFAMZ-91068336&return=%2Fcatalog%2F%3Fq%3Dlapto%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/965927/1.jpg?5576
"HP REFURBISHED 430 G5 Intel(R) Core(TM) I5 7th Gen 8 GB RAM 128 SSD Windows 10 14""",18105,5 out of 5,https://www.jumia.co.ke/hp-refurbished-430-g5-intelr-coretm-i5-7th-gen-8-gb-ram-128-ssd-windows-10-14-232626541.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/5626232/1.jpg?9448
"Infinix InBook X2 - 14.0"", Intel Core I5, 8GB RAM, 512GB SSD - Windows 11 Home - Grey",48000,5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IN213CL41HG1CNAFAMZ-387592831&return=%2Fcatalog%2F%3Fq%3Dlapto%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/3582562/1.jpg?5362
"HP Refurbished Elitebook 820 Core I5, 8GB RAM 500GB HDD -12.5"", Black (6M WRTY)",16999,4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL2EB2MGNAFAMZ-173472836&return=%2Fcatalog%2F%3Fq%3Dlapto%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/9635921/1.jpg?3361
"HP Refurbished Elitebook 840  Core I5, Slim Model , 8GB RAM 500GB HDD -14"", Black.",17999,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL25QR7SNAFAMZ-138241238&return=%2Fcatalog%2F%3Fq%3Dlapto%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/5787601/1.jpg?8101
"HP EliteBook 820 G1 Core I5 8GB RAM 500gb Hdd Slim Ultrabook Laptop Refurbished,  (6 Months WRTY)",17899,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL1A4VZ2NAFAMZ-112762158&return=%2Fcatalog%2F%3Fq%3Dlapto%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/490398/1.jpg?4614
"X Tigi HeroBook 10.1""- Android - Quad Core-3Gb RAM-64Gb ROM- 4000mAh-12 Months Warranty",8684,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=XT648CL2LG06VNAFAMZ-149335589&return=%2Fcatalog%2F%3Fq%3Dlapto%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/9510311/1.jpg?5414
Acer REFUBRISHED X360 CHROMEBOOK 4GB RAM/32 HDD/TOUCHSCREEN,9645,4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=AC019CL32Q56DNAFAMZ-200771357&return=%2Fcatalog%2F%3Fq%3Dlapto%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/9775251/1.jpg?2592
Lenovo Refurbished Thinkpad 11E Celeron - 4 GB RAM - SSD 128GB 11.6'' - Black (6 Months WRTY),11899,4.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL0LTS9ENAFAMZ-85609325&return=%2Fcatalog%2F%3Fq%3Dlapto%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/661586/1.jpg?5081
"HP Refurbished EliteBook 8470p Core I5 - HDD 1TB - 8GB RAM WIFI CAM Silver - 14"" (6 Months WRTY)",17499,3.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL223V54NAFAMZ-161154350&return=%2Fcatalog%2F%3Fq%3Dlapto%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/4719121/1.jpg?6816
"HP Refurbished EliteBook 8470p Core I5 - HDD 500GB - 8GB RAM WIFI CAM Silver - 14"" (6 Months WRTY)",13999,3.1 out of 5,https://www.jumia.co.ke/hp-refurbished-elitebook-8470p-core-i5-hdd-500gb-8gb-ram-wifi-cam-silver-14-6-months-wrty-162507285.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/2705261/1.jpg?6818
"Lenovo Refurbished Thinkpad X250 Intel Core I5, 8GB RAM, 500GB HDD, 12.5'' Black Win 10",15495,3.4 out of 5,https://www.jumia.co.ke/refurbished-thinkpad-x250-intel-core-i5-8gb-ram-500gb-hdd-12.5-black-win-10-lenovo-mpg1833915.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/0733271/1.jpg?8045
HP Refurbished Revolve 810 Corei7/ 8GB RAM/ 256 SSD/ Touchscreen/,23000,2.5 out of 5,https://www.jumia.co.ke/hp-refurbished-revolve-810-corei7-8gb-ram-256-ssd-touchscreen-284343263.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/2343482/1.jpg?4262
"Lenovo Refurbished Thinkpad X131e - 11.6"" - Intel Dual-Ccore - 4GB RAM - 320GB HDD - Black (6 Months WRTY)",11899,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL2FRG97NAFAMZ-155880988&return=%2Fcatalog%2F%3Fq%3Dlapto%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/4073711/1.jpg?1503
"HP Chromebook 11 G5 EE Intel Celeron Dual Core - 11.6"" – Storage 4GB RAM / 16GB SSD - HDMI - WiFi - Camera- Playstore - Chrome OS - Refurb  (6 Months WRTY)",8999,3 out of 5,https://www.jumia.co.ke/hp-chromebook-11-g5-ee-intel-celeron-dual-core-11.6-storage-4gb-ram-16gb-ssd-hdmi-wifi-camera-playstore-chrome-os-refurb-6-months-wrty-268731258.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/2137862/1.jpg?8663
HP Refurbished ProBook X360/11EE/4GB/128GB SSD/Touchscreen +free Sleeve,15999,5 out of 5,https://www.jumia.co.ke/hp-refurbished-probook-x36011ee4gb128gb-ssdtouchscreen-free-sleeve-210158894.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/8851012/1.jpg?3330
"HP EliteBook 840 G2 Refurbished Intel Core I5 -8GB Ram -256GB SSD-Black-14""",20499,4.4 out of 5,https://www.jumia.co.ke/hp-elitebook-840-g2-refurbished-intel-core-i5-8gb-ram-256gb-ssd-black-14-247886969.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/9688742/1.jpg?1601
"X Tigi HeroBook 10.1""- Quad Core - 4Gb RAM -128Gb ROM -Android Notebook- 4000mAh-13 Months Warranty",9649,3.4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=XT648CL39JIUGNAFAMZ-138459435&return=%2Fcatalog%2F%3Fq%3Dlapto%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/4259601/1.jpg?4994
"Acer  11.6"" HD Touchscreen Chromebook C731 – C734T - HD - Intel Celeron  Dual-core - 4 GB RAM - 32 GB SSD Flash Memory  - Intel UHD Graphics – Wifi, HDMI , Bluetooth, Camera Playstore Chrome OS Refurb",10299,No Ratings,https://www.jumia.co.ke/acer-11.6-hd-touchscreen-chromebook-c731-c734t-hd-intel-celeron-dual-core-4-gb-ram-32-gb-ssd-flash-memory-intel-uhd-graphics-wifi-hdmi-bluetooth-camera-playstore-chrome-os-refurb-281765927.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/9567182/1.jpg?5352
Lenovo Refurbished Thinkpad X250 Intel Core I5 8 GB RAM 256GB SSD 12.5'' Black (6M WRTY),15999,4.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL269WDKNAFAMZ-161154320&return=%2Fcatalog%2F%3Fq%3Dlapto%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/4719121/1.jpg?2817
"Apple Refurbished MacBook Pro 13"" Core I5 8GB RAM, 1TB HDD ( 2012)  2.5GHz- Silver",27100,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=AP044CL07I90YNAFAMZ-102078125&return=%2Fcatalog%2F%3Fq%3Dlapto%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/608818/1.jpg?3517
