Brand,Price,Rating
"(SPECIAL OFFER)  LENOVO YOGA 11E  4GB RAM 128GB SSD  2 IN 1  TOUCHSCREEN  X360 LAPTOP REFURBISHED  LAPTOP , BLACK , 12"" INCH , INSTALLED WINDOWS 10 PRO AND FREE MOUSE",11499,(116)
Hp Probook 640 G2 Core i7 6th Gen 16GB RAM 256GB SSD 14 Inches 2.6GHz Dual Core Windows 10 Professional Refurbished Notebook Laptop,24000,(1)
"(BLACK FRIDAY OFFER) REFURBISHED HP ELITEBOOK 8460P CORE INTEL I5 8GB RAM 500GB HDD COMPUTER LAPTOP ,WINDOWS 10 PRO +FREE MOUSE",12999,(52)
"HOT SALE Refurbished Dell Latitude 7490 Elite Intel Core i5 8th Gen 16GB RAM 512GB SSD ,Laptop With Touchscreen and Backlight Keyboard and Fingerprint reader. With Face Recognition 6 Month Warranty",35000,(2)
"**Lenovo ThinkPad **
## **A reliable and durable business laptop with the following key features:**
* **Processor:** Intel Core i5-5300 2.3GHz
* **RAM:** 8GB DDR3
* **Storage: **500GB HDD
* **Disp",19750,(0)
HP ProBook X360 11 G5 EE 9th Generation 4GB RAM 192GB SSD 11.6 Inches  Touchscreen 1.1GHz up to 2.7GHz Dual Core Processor Windows 10 Pro 2 - in - 1 Convertible Refurbished Laptop,17000,(0)
Lenovo ThinkPad X270 Intel Core I5-Refurbished-8GB RAM 256GB SSD Windows 10 Pro Laptop,19999,(0)
"{SPECIAL OFFERS} Refurbished HP Elitebook 8460 Laptop Core i5 8GB RAM / 500GB HDD Computer Laptop,windows 10 pro Refurbished Laptops Notebook Computers",12999,(4)
Refurbished Lenovo Thinkpad T440 Laptop intel Core i5 4th Gen 8GB Ram 500GB HDD Rom 14''Screen HD Display Refurbished Laptop Computer Notebook / Computer 5.0,16995,(0)
[Core i7+16gb+512gb+13.3'' Touch] Refurbished Hp 1040 G6  Laptop Core i7 Touchscreen  X360 16GB RAM + 512GB SSD Laptops 13.3 inch Computer Notebook,42999,(0)
"Touchscreen REFURBISHED LENOVO THINKPAD YOGA 11E 4GB RAM 128GB SSD , CELERON, 2 IN 1 LAPTOP , 4TH GENERATION X360 COMPUTER, INSTALLED WINDOWS 10 PRO,  black",12500,(0)
"Refurbished Microsoft Surface pro RT Tablet Intel Core i5 3rd gen 4gb Ram  128gb SSD Rom Refurbished Laptops Computer Notebook.,",12799,(0)
Touchscreen Refurbished lenovo thinkpad yoga 11e 2 in 1 laptop x360 celeron 4gb ram  128gb ssd 11.6'' inch  Lenovo laptops Notebook Computers,11199,(69)
"BLACK FRIDAY OFFERS HP EliteBook x360 1040 G7 10th Generation Intel Core i7-10710U 16GB RAM 512GB SSD 14-In FHD Touchscreen ,laptop computer,sleek +FREE BAG |WINDOS |14''|REFURBISHED",58000,(0)
HP EliteBook 830 G6 X360 Core I5 8GB RAM 256GB SSD 8th Gen 13.3 inches Touchscreen 2 in 1 Convertible Ultra Slim Refurbished Laptop,33999,(0)
"[Black Friday Deals] HOT SALE PANASONIC CF-MX5: Versatile 12.5"" Laptop with i5-6200U, 4GB/8GB RAM, 128GB/256GB SSD, Touch-Screen, Pen Input, 64-Bit Operating System, 6 Month Warranty",11999,(8)
"Lenovo ThinkPad Yoga 370 X360 Core I7 7th Gen 8GB RAM 256GB SSD 14"" FHD Touchscreen 2-in-1 Convertible Refurbished Laptop + Stylus",40999,(0)
"Refurbished Hp Elitebook 840 G2 Touch Screen Laptop Intel Core i5 8gb Ram 500gb HDD 14"" Notebook laptop",23599,(0)
"(Free Mouse)Refurbished Laptop Lenovo Thinkpad T440P Core i5 6th 8GB+500GB+14"" Windows 11 14"" FHD Display Bluetooth Webcam WiFi Intel Graphics 6 Months Warranty laptops",18999,(4)
"Lenovo ThinkPad L380 Yoga x360 Core I5 8th generation Quad core, 8GB RAM 256GB SSD 13.3 Inches FHD Touchscreen with a stylus Pen 2 in 1 Refurbished Laptop",28999,(0)
"HP ProBook x360 11 G5 EE, 9th generation 8GB RAM 256GB, Intel Pentium Silver Quad core 11.6 inch touchscreen 2 in 1 Refurbished Laptop with a Free Bag",21000,(0)
"Refurbished Hp Elitebook 810 G2, Revolve Intel Corei5 8gb ram 256gb SSD Storage Windows 10 pro installed Office 2019 activated + Free Laptop Bag",22999,(1)
Brand NEW Lenovo Ideapad 1 | Celeron N4020 | 8GB RAM | 256GB SSD | 14'' Inch HD display School & Business Laptop Computer | Notebook | Windows 10 New Laptops Lenovo Laptop Computers,31899,(41)
( With Sylus Pen ) Touchscreen Refurbished Lenovo Thinkpad Yoga 11E X360 2 IN 1 Laptop Intel Celeron 8GB Ram 128GB SSD 12.6''inch Refurbished Laptop Computer Notebook,14549,(0)
"[Core i5+8gb+256gb+14''] Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 256GB SSD 14""  Backlit Keyboard Notebook Laptop Computer Windows 11 Office",21999,(27)
{ Limited Hot Best Offers } Touchscreen x360 Lenovo ThinkPad 11e  Laptop  Laptop | Intel pentium 6th gen | 4GB RAM | 256GB SSD | 11.6 Inch Refurbished Lenovo Laptops Notebook Computer,14299,(11)
"(i5+8GB+256GB+14""+Mouse)Refurbished Hp Elitebook 840 G3 Laptop - Intel Core i5 6th - 8GB RAM 256GB SSD ROM - 14'' Windows 10 Notebook Silver 14 inch FHD Display",20999,(0)
"(SPECIAL OFFER) TOUCHSCREEN REFURBISHED LENOVO THINKPAD YOGA 11E 4GB RAM 128GB SSD , CELERON, 2 IN 1 LAPTOP , 5TH GENERATION X360",10949,(5)
"Refurbished Laptop Lenovo Thinkpad T430 Core i5 3th Gen 4GB+500GB+12.5"" Windows 10 Refurbished Lenovo Laptops Notebook Black 12 inch",12299,(0)
"Touchscreen Refurbished LENOVO YOGA 11E 4GB RAM 128GB SSD REFURBISHED LAPTOP , BLACK , 12"" INCH , INSTALLED WINDOWS 10 PRO",11449,(4)
"( FREE 16GB FLASH ) Touchscreen Refurbished LENOVO YOGA 11E 4GB RAM 128GB SSD REFURBISHED LAPTOP , BLACK , 12"" INCH , INSTALLED WINDOWS 10 PRO",11699,(0)
Touchscreen {i5 8gb ram + 128gb ssd } Refurbished HP ProBook x360 11 G1 EE Intel Core i5 8th Gen  8GB RAM 128GB SSD 11.6 Inch HD Display Refurbished hp Laptop Refurbished Laptops,18699,(0)
( 4GB RAM+256GB SSD ) Touchscreen Refurbished Lenovo Thinkpad Yoga 11E X360 Intel pentium 5th Gen 4GB RAM 256GB SSD 2 IN 1 Laptop Refurbished Laptops Cmputers INSTALLED WINDOWS 10 PRO,14699,(2)
(4GB + 320GB HDD) Refurbished Lenovo Thinkpad Yoga 11e Celeron 4GB RAM + 320GB HDD Storage Laptop Windows Installed Non-touchscreen Laptops Notebook Computer,10999,(2)
"(Free Mouse)Refurbished Laptop Lenovo Thinkpad T440P Core i5 6th 8GB+512GB+14"" Windows 11 14"" FHD Display Bluetooth Webcam WiFi Intel Graphics 6 Months Warranty laptops",20999,(0)
"(Free Mouse)Refurbished Laptop Lenovo Thinkpad T440P Core i5 6th 8GB+512GB+14"" Windows 11 14"" FHD Display Bluetooth Webcam WiFi Intel Graphics 6 Months Warranty laptops",20999,(2)
