Name,Price,Rating,Link
"Lenovo Refurbished ThinkPad Yoga 11e  X360 Intel -Touchscreen- 11.6""- 4GB RAM - SSD 128GB - Black",12000,4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL14GMFJNAFAMZ-87664542&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
Lenovo Refurbished Thinkpad Intel Core I5 8 GB RAM 500 GB HDD 12.5'' Black (6 Months WRTY),15499,3.6 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL0JMKO7NAFAMZ-91068336&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
Lenovo Refurbished Thinkpad 11E Celeron - 4 GB RAM - SSD 128GB 11.6'' - Black (6 Months WRTY),12499,4.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL0LTS9ENAFAMZ-85609325&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"HP EliteBook 820 G1 Core I5 8GB RAM 500gb Hdd Slim Ultrabook Laptop Refurbished,  (6 Months WRTY)",17899,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL1A4VZ2NAFAMZ-112762158&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"Infinix InBook X2 - 14.0"", Intel Core I5, 8GB RAM, 512GB SSD - Windows 11 Home - Grey",48500,5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IN213CL41HG1CNAFAMZ-387592831&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"Lenovo ThinkPad X260 Intel Core I5, 8GB RAM, 256GB SSD, 12.5'' REFURBISHED",16499,3.8 out of 5,https://www.jumia.co.ke/lenovo-thinkpad-x260-intel-core-i5-8gb-ram-256gb-ssd-12.5-refurbished-172363965.html
"HP Refurbished EliteBook 8470p Core I5 - HDD 1TB - 8GB RAM WIFI CAM Silver - 14"" (6 Months WRTY)",17499,3.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL223V54NAFAMZ-161154350&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"Lenovo Refurbished Thinkpad X131e - 11.6"" - Intel Dual-Ccore - 4GB RAM - 320GB HDD - Black (6 Months WRTY)",12498,3.9 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL2FRG97NAFAMZ-155880988&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"HP Chromebook 11A G8 EE AMD A4-Storage 4GB / 32GB EMMC 11.6-inch  HD Webcam WiFi, Chrome OS- Refurb.  (6 Months WRTY)",10299,3 out of 5,https://www.jumia.co.ke/hp-chromebook-11a-g8-ee-amd-a4-storage-4gb-32gb-emmc-11.6-inch-hd-webcam-wifi-chrome-os-refurb.-6-months-wrty-268445200.html
Acer REFUBRISHED X360 CHROMEBOOK 4GB RAM/32 HDD/TOUCHSCREEN,9999,4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=AC019CL32Q56DNAFAMZ-200771357&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"X Tigi HeroBook 10.1""- Android - Quad Core-3Gb RAM-64Gb ROM- 4000mAh-12 Months Warranty",8999,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=XT648CL2LG06VNAFAMZ-149335589&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
HP Chromebook 11 G8 Intel Celeron N4020 Storage 32GB/4GB RAM Bluetooth WiFi HD Webcam Refurb.(6 Months WRTY),9783,No Ratings,https://www.jumia.co.ke/hp-chromebook-11-g8-intel-celeron-n4020-storage-32gb4gb-ram-bluetooth-wifi-hd-webcam-refurb.6-months-wrty-268456861.html
"HP REFURBISHED 430 G5 Intel(R) Core(TM) I5 7th Gen 8 GB RAM 128 SSD Windows 10 14""",18605,No Ratings,https://www.jumia.co.ke/hp-refurbished-430-g5-intelr-coretm-i5-7th-gen-8-gb-ram-128-ssd-windows-10-14-232626541.html
Lenovo Refurbished Thinkpad X250 Intel Core I5 8 GB RAM 256GB SSD 12.5'' Black (6M WRTY),18499,4.4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL269WDKNAFAMZ-161154320&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"HP EliteBook 840 G4 Intel Core I7 7Th Gen,16GB Ram,256GB SSD, Windows 10 Pro",39449,4.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL2XDI6DNAFAMZ-205972551&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"Acer  11.6"" HD Touchscreen Chromebook C731 – C734T - HD - Intel Celeron  Dual-core - 4 GB RAM - 32 GB SSD Flash Memory  - Intel UHD Graphics – Wifi, HDMI , Bluetooth, Camera Playstore Chrome OS Refurb",10299,No Ratings,https://www.jumia.co.ke/acer-11.6-hd-touchscreen-chromebook-c731-c734t-hd-intel-celeron-dual-core-4-gb-ram-32-gb-ssd-flash-memory-intel-uhd-graphics-wifi-hdmi-bluetooth-camera-playstore-chrome-os-refurb-281765927.html
"HP Chromebook 11 G5 &ndash; Storage 4GB RAM  /  16GB SSD -11.6"" - Intel Celeron N3060 HDMI - HD Camera - Chrome OS -Refurb,  (6 Months WRTY)",9119,3.3 out of 5,https://www.jumia.co.ke/hp-chromebook-11-g5-ndash-storage-4gb-ram-16gb-ssd-11.6-intel-celeron-n3060-hdmi-hd-camera-chrome-os-refurb-6-months-wrty-167143569.html
"Asus  11.6"" Chromebook C202, Intel Celeron N3060, 4GB RAM, HDMI, Bluetooth, Camera, Playstore, Chrome OS, Refurb.",7999,No Ratings,https://www.jumia.co.ke/asus-11.6-chromebook-c202-intel-celeron-n3060-4gb-ram-hdmi-bluetooth-camera-playstore-chrome-os-refurb.-283996014.html
HP Refurbished 6th Generation EliteBook 840 G3 Core I5-8GB - 256GB Ssd - Win 10 - Silver,22100,3.5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246EL0LHDWFNAFAMZ-40044626&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"HP EliteBook 840 G4 Intel Core I7 7Th Gen,8GB Ram,256GB SSD, Windows 10 Pro",33949,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL2AI0W3NAFAMZ-206839365&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
Lenovo Refurbished Thinkpad X250 Intel Core I5 8 GB RAM 500 GB HDD 12.5'' Black (6M WRTY),15999,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL18BLP1NAFAMZ-91576430&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"HP Refurbished Elitebook 820 Core I5, 8GB RAM 500GB HDD -12.5"", Black (6M WRTY)",16999,4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL2EB2MGNAFAMZ-173472836&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"HP Chromebook 11 G5 EE Intel Celeron Dual Core - 11.6"" – Storage 4GB RAM / 16GB SSD - HDMI - WiFi - Camera- Playstore - Chrome OS - Refurb  (6 Months WRTY)",8549,3 out of 5,https://www.jumia.co.ke/hp-chromebook-11-g5-ee-intel-celeron-dual-core-11.6-storage-4gb-ram-16gb-ssd-hdmi-wifi-camera-playstore-chrome-os-refurb-6-months-wrty-268731258.html
"HP 11 G6 EE 11.6"" LCD Chromebook - Intel Celeron N3350 Dual-core - 4GB LPDDR4 -16GB SSD - WiFi- Camera - Type C- Chrome OS - Refurb  (6 Months WRTY)",8599,4 out of 5,https://www.jumia.co.ke/hp-11-g6-ee-11.6-lcd-chromebook-intel-celeron-n3350-dual-core-4gb-lpddr4-16gb-ssd-wifi-camera-type-c-chrome-os-refurb-6-months-wrty-268737171.html
"HP 16GB Ram,512GB SSD Elite-book 840 G4 Intel Core I7 7Th Gen,-Refurbished",38000,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL329LLQNAFAMZ-170047951&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"HP Refurbished Elitebook 840  Core I5, Slim Model , 8GB RAM 500GB HDD -14"", Black.",17999,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL25QR7SNAFAMZ-138241238&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"HP Refurbished EliteBook 840 G3 Intel Core I5 6th Gen 8GB, 128 GB SSD 500GB HDD WIN 10 Trial",23500,4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL00880RNAFAMZ-46467252&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"Lenovo Refurbished ThinkPad Yoga 11e X360 Intel -Touchscreen, 11.6""- 4GB RAM - 500GB - Black (6M WRTY)",13989,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL1VATCHNAFAMZ-206109097&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"HP Refurbished EliteBook 8470p Core I5 - HDD 500GB - 8GB RAM WIFI CAM Silver - 14"" (6 Months WRTY)",15999,3.1 out of 5,https://www.jumia.co.ke/hp-refurbished-elitebook-8470p-core-i5-hdd-500gb-8gb-ram-wifi-cam-silver-14-6-months-wrty-162507285.html
"DELL Chromebook 3180 Laptop Computer, 11.6 Inch Laptop PC, Intel Celeron N3060, 4GB RAM, 16GB SSD, Web Camera, Wi-Fi, Bluetooth, HDMI, Chrome OS, Refurb",8599,No Ratings,https://www.jumia.co.ke/dell-chromebook-3180-laptop-computer-11.6-inch-laptop-pc-intel-celeron-n3060-4gb-ram-16gb-ssd-web-camera-wi-fi-bluetooth-hdmi-chrome-os-refurb-280981482.html
"HP  Touchscreen Chromebook Laptop 11 G5 11.6"" - Intel Celeron N3060 – Storage 4GB RAM – 16GB SSD eMMC- HDMI - HD Camera - Refurb",11304,No Ratings,https://www.jumia.co.ke/hp-touchscreen-chromebook-laptop-11-g5-11.6-intel-celeron-n3060-storage-4gb-ram-16gb-ssd-emmc-hdmi-hd-camera-refurb-281769337.html
Lenovo Refurbished Thinkpad X250 Intel Core I5 - 8 GB RAM - 1TB HDD 12.5'' Black (6 Months WRTY),18998,3.9 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL0Q411BNAFAMZ-51361026&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
Acer Chromebook Touchscreen - Intel Celeron  4GB / 32GB eMMC SSD 11.6” HDMI Camera Wi-Fi Bluetooth Chrome OS Refurb,9999,3 out of 5,https://www.jumia.co.ke/acer-chromebook-touchscreen-intel-celeron-4gb-32gb-emmc-ssd-11.6-hdmi-camera-wi-fi-bluetooth-chrome-os-refurb-281761588.html
"Acer Chromebook 11 C733 Screen 11.6"" 4GB RAM - 32GB EMMC Celeron N4000  Bluetooth WiFi Camera Black - Refurb.",8447,3.2 out of 5,https://www.jumia.co.ke/acer-chromebook-11-c733-screen-11.6-4gb-ram-32gb-emmc-celeron-n4000-bluetooth-wifi-camera-black-refurb.-268712638.html
HP Chromebook 11 G6  - Intel Celeron  Dual-core - Storage 16GB/4GB -WiFi - Camera - Type C- Chrome OS - Refurb  (6 Months WRTY),8599,No Ratings,https://www.jumia.co.ke/hp-chromebook-11-g6-intel-celeron-dual-core-storage-16gb4gb-wifi-camera-type-c-chrome-os-refurb-6-months-wrty-271824615.html
"HP  Chromebook Laptop 11 G5 11.6"" TOUCH - Intel Celeron –4GB RAM –16GB SSD eMMC- HDMI - HD Camera - Refurb - Touchscreen",9999,No Ratings,https://www.jumia.co.ke/hp-chromebook-laptop-11-g5-11.6-touch-intel-celeron-4gb-ram-16gb-ssd-emmc-hdmi-hd-camera-refurb-touchscreen-281769504.html
Lenovo Refurbished Thinkpad X250 Intel Core I5 4 GB RAM 500 GB HDD 12.5'' Black (6 Months WRTY),14999,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL013A94NAFAMZ-35273033&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
HP 6th Gen 640  Refurbished Intel Core I5 ProBook 500GB HDD 8GB RAM,19999,4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL1FMZPFNAFAMZ-43248169&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
HP 500GB HDD 8GB RAM Refurbished ProBook 640 14 Intel Core I5 Windows 10,17999,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL1LCJ0FNAFAMZ-43889207&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
"HP EliteBook 755 G5 15.6"" - AMD Ryzen 7 2700U  - 16 GB RAM - 256 GB SSD - Win 10 Pro",35199,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL1O8PMFNAFAMZ-198673241&return=%2Fcatalog%2F%3Fq%3Dlaptops%26page%3D1
