Brand,Price,Rating,Image,Link
"(SPECIAL OFFER)  LENOVO YOGA 11E  4GB RAM 128GB SSD  2 IN 1  TOUCHSCREEN  X360 LAPTOP REFURBISHED  LAPTOP , BLACK , 12"" INCH , INSTALLED WINDOWS 10 PRO AND FREE MOUSE",11499,(123),,https://www.kilimall.co.ke//listing/2855837-special-offer-lenovo-yoga-11e-4gb-ram-128gb-ssd-2-in-1-touchscreen-x360-laptop-refurbished-laptop-black-12-inch-installed-windows-10-pro-and-free-mouse?skuId=19422625
"HOT SALE Refurbished Dell Latitude 7490 Elite Intel Core i5 8th Gen 16GB RAM 512GB SSD ,Laptop With Touchscreen and Backlight Keyboard and Fingerprint reader. With Face Recognition 6 Month Warranty",35000,(2),,https://www.kilimall.co.ke//listing/1000189531-hot-sale-refurbished-dell-latitude-7490-elite-intel-core-i5-8th-gen-16gb-ram-512gb-ssd-laptop-with-touchscreen-and-backlight-keyboard-and-fingerprint-reader-with-face-recognition-6-month-warranty?skuId=10000500709
"(BLACK FRIDAY OFFER) REFURBISHED HP ELITEBOOK 8460P CORE INTEL I5 8GB RAM 500GB HDD COMPUTER LAPTOP ,WINDOWS 10 PRO +FREE MOUSE",12999,(59),,https://www.kilimall.co.ke//listing/1000155095-black-friday-offer-refurbished-hp-elitebook-8460p-core-intel-i5-8gb-ram-500gb-hdd-computer-laptop-windows-10-pro-free-mouse?skuId=10000382886
"HP ProBook x360 11 G5 EE, 9th generation 8GB RAM 256GB, Intel Pentium Silver Quad core 11.6 inch touchscreen 2 in 1 Refurbished Laptop with a Free Bag",21000,(0),,https://www.kilimall.co.ke//listing/1000371530-hp-probook-x360-11-g5-ee-9th-generation-8gb-ram-256gb-intel-pentium-silver-quad-core-116-inch-touchscreen-2-in-1-refurbished-laptop-with-a-free-bag?skuId=10001370188
Lenovo ThinkPad X270 Intel Core I5-Refurbished-8GB RAM 256GB SSD Windows 10 Pro Laptop,19999,(0),,https://www.kilimall.co.ke//listing/1000334605-lenovo-thinkpad-x270-intel-core-i5refurbished8gb-ram-256gb-ssd-windows-10-pro-laptop?skuId=10001161488
"{SPECIAL OFFERS} Refurbished HP Elitebook 8460 Laptop Core i5 8GB RAM / 500GB HDD Computer Laptop,windows 10 pro Refurbished Laptops Notebook Computers",12999,(7),,https://www.kilimall.co.ke//listing/1000359668-special-offers-refurbished-hp-elitebook-8460-laptop-core-i5-8gb-ram-500gb-hdd-computer-laptopwindows-10-pro-refurbished-laptops-notebook-computers?skuId=10001287142
HP ProBook X360 11 G5 EE 9th Generation 4GB RAM 192GB SSD 11.6 Inches  Touchscreen 1.1GHz up to 2.7GHz Dual Core Processor Windows 10 Pro 2 - in - 1 Convertible Refurbished Laptop,17000,(0),,https://www.kilimall.co.ke//listing/1000340850-hp-probook-x360-11-g5-ee-9th-generation-4gb-ram-192gb-ssd-116-inches-touchscreen-11ghz-up-to-27ghz-dual-core-processor-windows-10-pro-2-in-1-convertible-refurbished-laptop?skuId=10001184078
Touchscreen Refurbished lenovo thinkpad yoga 11e 2 in 1 laptop x360 celeron 4gb ram  128gb ssd 11.6'' inch  Lenovo laptops Notebook Computers,11199,(72),,https://www.kilimall.co.ke//listing/1000128274-touchscreen-refurbished-lenovo-thinkpad-yoga-11e-2-in-1-laptop-x360-celeron-4gb-ram-128gb-ssd-116-inch-lenovo-laptops-notebook-computers?skuId=10000299480
"Touchscreen REFURBISHED LENOVO THINKPAD YOGA 11E 4GB RAM 128GB SSD , CELERON, 2 IN 1 LAPTOP , 4TH GENERATION X360 COMPUTER, INSTALLED WINDOWS 10 PRO,  black",10990,(0),,https://www.kilimall.co.ke//listing/1000244002-touchscreen-refurbished-lenovo-thinkpad-yoga-11e-4gb-ram-128gb-ssd-celeron-2-in-1-laptop-4th-generation-x360-computer-installed-windows-10-pro-black?skuId=10000714869
"BLACK FRIDAY OFFERS HP EliteBook x360 1040 G7 10th Generation Intel Core i7-10710U 16GB RAM 512GB SSD 14-In FHD Touchscreen ,laptop computer,sleek +FREE BAG |WINDOS |14''|REFURBISHED",58000,(0),,https://www.kilimall.co.ke//listing/1000416455-black-friday-offers-hp-elitebook-x360-1040-g7-10th-generation-intel-core-i710710u-16gb-ram-512gb-ssd-14in-fhd-touchscreen-laptop-computersleek-free-bag-windos-14refurbished?skuId=10001573405
"Lenovo ThinkPad Yoga 370 X360 Core I7 7th Gen 8GB RAM 256GB SSD 14"" FHD Touchscreen 2-in-1 Convertible Refurbished Laptop + Stylus",40999,(0),,https://www.kilimall.co.ke//listing/1000371546-lenovo-thinkpad-yoga-370-x360-core-i7-7th-gen-8gb-ram-256gb-ssd-14-fhd-touchscreen-2in1-convertible-refurbished-laptop-stylus?skuId=10001370239
