Name,Price,Rating,Link
"Infinix Hot 50i, 6.7"", 128GB + 6GB RAM, 5000 mAh (Dual Sim), Sleek Black  (1YR  WRTY)",12899,4.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IN213MP4BB9Q1NAFAMZ-407705220&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Tecno POP 9 120Hz 6.67"" 128GB ROM+3GB RAM*(+3GB RAM Extended)4.5G Network,5000mAh,  Infrared Remote Control- Black",10999,4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=TE685MP42VPMXNAFAMZ-407956495&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black (2 YRs WRTY)",12999,4.5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=XI996MP44R1GPNAFAMZ-405766145&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"XIAOMI Redmi A3x, 6.71"", 64GB + 3GB RAM (Dual SIM) 5000mAh, Black (2YRS WRTY)",8999,4.4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=XI996MP3X8UO8NAFAMZ-389084512&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Samsung Galaxy A04e 32GB ROM 3GB RAM 6.5'' 5000mAh Battery - Black, (2YRs WRTY)",9095,4.4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=SA948MP3S06FDNAFAMZ-357007670&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Oking OK2166, 1.77"", Wireless FM ,Camera, Bright Touch, 1000mAh (Dual Sim)",699,4.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=OK005MP4VDOSRNAFAMZ-403883603&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"XIAOMI A3 Pro, 6.88"", 4GB RAM + 128GB (Dual Sim), 5160mAH,Midnight Black (2YRs WRTY)",11799,4.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=XI996MP3X31YONAFAMZ-417046342&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Tecno Pova 6 Neo 6.78""FHD+, 256GB+8GB RAM, 50MP, 7000mAh-33W Super Charge- Speed Black (1YR WRTY)",18849,4.4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=TE685MP43V38VNAFAMZ-373095621&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Elemental Blue",13999,4.6 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP4FFX3YNAFAMZ-355787405&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Tecno Spark 20 Pro, 6.78"", 256GB+8GB (8GB RAM Extended)Dual Sim, Unset Blush(1YR WRTY)",16999,4.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=TE685MP1T4QYENAFAMZ-262826952&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
Oppo A31 6GB RAM+128G ROM Refurbished 6.5 Inch Screen HD Camera 12MP-Black,8999,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=RE346MP394LH8NAFAMZ-164422391&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Energetic Orange",13999,4.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP3HKCSENAFAMZ-355787437&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
