Brand,Price,Rating
"[Black Friday Deals] TECNO SPARK 20C 256GB +12(4+8)GB Large Storage 90Hz 6.6"" Dynamic Port 50MP Stereo Dual Speakers 5000mAh 18W Type-C Dual SIM 4G Smart Phones Side Fingerprint phone",13499,(280)
"XIAOMI Redmi 14C 128GB Storage Upto 8(4+4)GB Ram 50MP AI Dual Camera Immersive 6.88"" UHD Display Upto 120Hz Refresh Rate Dual Sim 5160mAh (typ) Battery Elegant glass back cover  Smart Phone",12910,(47)
"[Black Friday Deals] Itel S23 128GB + 8(4+4)GB RAM 6.6"" HD+ 90HZ Refresh Rate Screen Phone Dual SIM 4G Network 50MP AI Camera Fingerprint Unlock Smart Phones",8899,(704)
"[Black Friday Deals] New Arrival TECNO POP 9 128GB + 6(3+3)GB 4.5G Fast Network 6.6"" 120Hz Dual Speakers IP54 Waterproof 13MP 5000mAh Type-C Android 14 Dual SIM Smart Phones Side Fingerprint phone",10999,(24)
"[Black Friday Deals] New Arrival TECNO SPARK 30C 128GB +8(4+4)GB 120Hz 6.6"" Dynamic Port 50MP Dual Speakers 7.8mm Ultra Slim 5000mAh 18W Type-C Dual SIM 4G Smart Phones Side Fingerprint phone",13799,(31)
"[Black Friday Deals] Brand New Samsung Galaxy A15 128GB+4GB 50MP Triple Camera Mediatek Helio G99 6.5"" 90Hz Display Android 14 5000mAh 25W Type-C Charge Smart Phones phone",16999,(559)
Refurbished phone OPPO A3 128GB+4GB 6.2'' 3600mAh ColorOS5.0 Battery Smart Phones Dual SIM 16MP+8MP Camera Mobile phones Helio P60,8777,(338)
"[Black Friday Deals] Infinix Hot 40i 128GB+8(4+4)GB 6.56"" Screen Phone 5000 mAh Battery Capacity With 18W Type-C Charging 50MP Dual AI Camera Fingerprint Lock Smart Phones",11899,(683)
[Black Friday Deals] Itel S23 Plus 128GB + 8(4+4)GB RAM 6.78'' Curved Screen Brand New Dual SIM 4G Phone 50MP+32MP AI Camera 5000mAh 18W Charging Under Display Fingerprint NFC S23+ Smart Phones,12999,(55)
"Refurbished INFINIX Note 40 Pro 256GB +12(4+8)GB Large Storage 6.78"" HD+ 120HZ Refresh Rate Screen Phones Dual SIM 5G Network 108MP AI Camera Unlock Smart Phones",21999,(4)
"[Black Friday Deals] Brand New Samsung Galaxy A15 128GB+6GB 50MP Triple Camera Mediatek Helio G99 6.5"" 90Hz Display Android 14 25W 5000mAh Type-C Charge Smart Phones phone",19399,(350)
"Brand New TECNO POP 8 128GB + 8(4+4)GB 6.6"" 90Hz Hole Screen Dynamic Port Stereo Dual Speakers 13MP 5000mAh Type-C Android 13 Dual SIM Smart Phones Side Fingerprint Unlock phone",9799,(358)
Refurbished OPPO Reno 2z 128GB+8GB 6.5 inch 48MP+16MP Camera Face Unlock Dual SIM Smart Phones,14000,(361)
Refurbished OPPO A59s  F1s Smart Phone 5.5 inches 3075mAh 16MP+13MP 4GB+32GB 2G/3G/4G LTE Dual SIM card Unlocked phones,4499,(285)
[New Arrivals] Xiaomi Redmi 14C Smart Phone 4GB RAM + 128GB Storage 4G Network Dual SIM 6.88 inch 120Hz LCD Screen 50MP Camera 18W Tpye-C Charging 5160mAh Battery Fingerprint&Face Smart Phones,13699,(59)
"BRAND NEW Xiaomi Redmi 14C 8(4+4)GB RAM + 128GB Storage 6.88"" 120Hz HD+ IPS display 4G Dual Sim 5160mAh Battery 50MP triple main camera Android 14 Smart Phones Mobile Phone +FREE GIFTS",13750,(20)
"[Super Brand] New Samsung Galaxy A05 128GB+4GB 50MP Camera 6.7"" 90Hz MTK Helio G85 (12nm) 5000mAh 25W Type-C Charge Android 13 Smart Phones phone",11780,(139)
"[Black Friday Deals] New Arrival Samsung Galaxy A06 128GB+4GB 50MP Camera 6.7"" 90Hz MTK Helio G85 (12nm) 5000mAh 25W Type-C Charge Android 14 Smart Phones Side Fingerprint Unlock phone",13999,(8)
"[New Launch] Infinix Hot 50i 128GB + 8(4+4)GB 6.7"" Screen Brand New Phone Dual SIM 4G Network 5000mAh Battery with 18W Type-C Charging 48MP Camera Fingerprint Lock Android 14 Smart Phones",11799,(2)
"[Black Friday Deals] Samsung Galaxy A05S 128GB+4GB 50MP Triple Camera Snapdragon 680 6.7"" 90Hz Display Android 13 5000mAh 25W Type-C Charge Smart Phones phone",14999,(90)
Refurbished OPPO R15X 128GB+6GB 6.4'' Face unlock 3600mAh Battery Smart Phones Dual SIM 25MP+18MP Camera Mobile phones Qualcomm Snapdragon 660 processor,8666,(239)
"[Black Friday Deals] Infinix Hot 40i 256GB+16(8+8)GB 6.56"" Screen Phone 4G Network Dual SIM 5000 mAh Battery With 18W Type-C Charging 50MP +32MP Dual AI Camera Fingerprint Lock Smart Phones",13999,(24)
Refurbished OPPO A83 phone 5.7 inches 4GB RAM+32/64GB ROM Storage Dual SIM 13MP Rear Camera 3180 mAh Battery Smart Phones Blue 64GB,4299,(272)
"[Black Friday Deals] Brand New realme Note 50 6.74"" 90Hz 256GB ROM + 8(4+4)GB RAM Unisoc Tiger T612 Type-C 3-Card Slot Side Fingerprint Smart Phones phone",12599,(42)
"BRAND NEW Xiaomi Redmi 14C 8GB RAM + 256GB Storage 6.88"" 120Hz HD+ IPS display 4G Dual Sim 5160mAh Battery 50MP triple main camera Android 14 Smart Phones Mobile Phone +FREE GIFTS",16699,(8)
Refurbished oppo a37 Smartphone 100% original Dual Sim Card 16GB+ 2GB Smartphone 5.0 mp +8.0 mp 2630 mAh 1920X1080 Dual Sim Card Smart Phone,3199,(300)
"NEW ARRIVAL M-HORSE C67 4G Network 6.8"" screen display ,128 GB ROM + 8GB RAM 60Hz refresh rate 5MP Front +13MP Rear  Dual SIM Android 14 5000mAh  side fingerprint  UNLOCK Smart Phones",11245,(4)
"[Black Friday Deals] Itel A70 128GB+8(3+5)GB RAM 6.6"" Screen Brand New Phone 4G Network Dual SIM 13MP Camera 5000mAh Battery Fingerprint And Face Unlock Fashion Smart Phones",9599,(520)
[New Arrivals] Xiaomi Redmi 14C  Smart Phone 8GB RAM + 256GB Storage 4G Network Dual SIM 6.88 inch 120Hz LCD Screen 50MP Camera 18W Tpye-C Charging 5160mAh Battery Fingerprint&Face Smart Phones,16999,(12)
"Refurbished TECNO Camon 30 6.78"" 120Hz AMOLED 256GB+12GB RAM MTK Helio G99 70W 5000mAh 50MP Dual Speaker Android 14 Dual Sim Smart Phone",19999,(2)
"Refurbished   phones   OPPO A59S smart phone 4GB+32GB 5.2-inch smart phone 16MP+13MP 3075mA, with fingerprint unlock gold,    Single Card   Unlock Smart Phone",3999,(114)
"[Black Friday Deals] TECNO SPARK 20 PRO 256GB+16(8+8)GB RAM 108MP Triple Camera 120Hz 6.78"" Mediatek Helio G99 Dual Speakers Android 13 5000mAh 33W Smart Phones phone",18399,(41)
"[NEW ARRIVAL] Xiaomi Redmi 14C 6.74"" 4GB RAM + 128GB Storage 4G Network Dual SIM 90Hz LCD Screen 50MP Camera 33W Type-C Charging 5000mAh Battery Fingerprin t& Face Smart Phones Phone",12899,(5)
"Brand New realme Note 50 6.74"" 90Hz 128GB ROM + 8(4+4)GB RAM Unisoc Tiger T612 Type-C 3-Card Slot Side Fingerprint Smart Phones",10299,(4)
"Refurbished Phone Samsung Galaxy S7 Edge G935 Smart Phone 4GB+32GB 12MP 4G LTE  Original Cellphones with line, dot or shadow",5999,(162)
Refurbished  phones Huawei Honor  6x   Smart phone  4gb+64gb 14mp+8mp 3340mAh  5.5-inch   gold   dual card mobile phone,5333,(132)
