Name,Price,Rating,Link
C Idea Adults Tablets10 Inches Android 12 Sim 8GB+512GB Storage Keyboard(Blcak),12285,4.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=CI320MP22VM22NAFAMZ-210698664&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
C Idea 10.1 Inch Android Tablet PC 12 Dual Camera Sim 8GB RAM 512GB Bluetooth Blue,13267,4.1 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP2ME333NAFAMZ-237264265&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
C Idea 10 Inches Android 12 Sim 8GB+512GB Storage Keyboard Adults Tablet PC(Green),12285,4.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=CI320MP28TY3UNAFAMZ-210698665&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
RichRipple 12inch LCD Writing Tablet Graphic Digital Handwriting Pads Multicolor Screen,415,4.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=GE840EA1B11ZCNAFAMZ-83848064&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
"C Idea Android 12 Tablet 7"" Tablet With SIM 6GB RAM 128GB ROM  6000mAh Battery Red",6093,3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP4U8IZZNAFAMZ-364441812&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
Modio KIDS STUDY TABLETS 256GB/6GB 4000MAH 5G SIMCARD SLOT,8799,3.9 out of 5,https://www.jumia.co.ke/modio-kids-study-tablets-256gb6gb-4000mah-5g-simcard-slot-166618877.html
C Idea Tablet Tablet With SIM 6GB RAM 128GB ROM  Android 12 600*1024 6000mAh Battery Purple,6093,2.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP43G0RZNAFAMZ-364441857&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
Bebe KIDS STUDY TABLET 4GB/128GB 5G UNBREAKABLE SCREEN SIMCARD SLOT,8499,4.3 out of 5,https://www.jumia.co.ke/bebe-kids-study-tablet-4gb128gb-5g-unbreakable-screen-simcard-slot-168121794.html
"C Idea 7 Inches Kids Tablet, Dual Cameras 256Gb Android 9 Tablets With Low Price",5699,3.8 out of 5,https://www.jumia.co.ke/c-idea-7-inches-kids-tablet-dual-cameras-256gb-android-9-tablets-with-low-price-201039204.html
C Idea Adults Tablets，10 Inches Android 12 Sim 8GB+512GB Storage Keyboard(Pink),12285,3.9 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=CI320MP37YISQNAFAMZ-210698661&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
C Idea Tablet Tablet With SIM 6GB RAM 128GB ROM  Android 12 600*1024 6000mAh Battery Green,6093,1 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP44MVZJNAFAMZ-364441877&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
Bebe KIDS STUDY TABLET 128GB/4GB 8INCH 5000MAH FREE BT HEADSET WITH SIMCARD SLOT,9499,3 out of 5,https://www.jumia.co.ke/bebe-kids-study-tablet-128gb4gb-8inch-5000mah-free-bt-headset-with-simcard-slot-273335386.html
C Idea 8 Inch Tablet Android 12 256GB Storage Long SIM Battery Life For Adults Teenagers Red,7861,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP3KPIG3NAFAMZ-364554859&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
"C Idea 7 Inches Kids Tablet, Dual Cameras 256Gb Android 9 Tablets With Low Price",5699,3.5 out of 5,https://www.jumia.co.ke/c-idea-7-inches-kids-tablet-dual-cameras-256gb-android-9-tablets-with-low-price-201089792.html
C Idea 8 Inch Tablet Android 12 256GB Storage Long SIM Battery Life For Adults Teenagers Blue,7861,2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP4EH6OZNAFAMZ-364554864&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
Modio KIDS STUDY TABLETS 256GB/6GB 5G WITH SIMCARD SLOT,8999,4.2 out of 5,https://www.jumia.co.ke/modio-kids-study-tablets-256gb6gb-5g-with-simcard-slot-131578869.html
C Idea Tablet Tablet With SIM 6GB RAM 128GB ROM  Android 12 600*1024 6000mAh Battery Pink,6093,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP4DNYHJNAFAMZ-374544218&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
C Idea Adults Tablets10 Inches Android 12 Sim 8GB+512GB Storage Keyboard(Purple),12285,4.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP2Q3INENAFAMZ-210698658&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
C Idea 7 Inch Android 12 Tablet Dual Camera 6GB RAM 5000mAh For Adult Kid Pink,6093,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP3TH2SBNAFAMZ-364588775&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
Bebe KIDS/PUPILS STUDY TABLETS 256GB/6GB With Simcard Slot 10inch,12999,4.3 out of 5,https://www.jumia.co.ke/bebe-kidspupils-study-tablets-256gb6gb-with-simcard-slot-10inch-130540707.html
"C Idea Adults Tablets, 10 Inches Android 12 Sim 8GB+512GB Storage Keyboard (Red)",12285,4.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP32R0SQNAFAMZ-210713218&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
C Idea Android 12 7 Inch Kid Tablet Dual Camera 6GB RAM 5000mAh Purple,6093,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP4BC2XNNAFAMZ-364588780&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
